"","Phenotype","Population","Parent population","Filename","Center","Sample","Replicate","Cell count","Parent Cell count","Population #"
"1","","All cells","","12828_001_P1.fcs","CIMR","12828_001_P1","1","212138","","1"
"2","","Lymphocytes","All cells","12828_001_P1.fcs","CIMR","12828_001_P1","1","101227","212138","2"
"3","","Singlets","Lymphocytes","12828_001_P1.fcs","CIMR","12828_001_P1","1","No FSC-H/W channel","101227","3"
"4","","Live","Singlets","12828_001_P1.fcs","CIMR","12828_001_P1","1","96367","101227","4"
"5","CD3+","CD3+","Live","12828_001_P1.fcs","CIMR","12828_001_P1","1","60024","96367","5"
"6","CD4+CD8-","CD4+","CD3+","12828_001_P1.fcs","CIMR","12828_001_P1","1","27590","60024","6"
"7","CD4-CD8+","CD8+","CD3+","12828_001_P1.fcs","CIMR","12828_001_P1","1","29320","60024","7"
"8","CD4+CCR7-CD45RA-","CCR7-CD45RA-","CD4+","12828_001_P1.fcs","CIMR","12828_001_P1","1","3960","27590","8"
"9","CD4+CCR7+CD45RA-","CCR7+CD45RA-","CD4+","12828_001_P1.fcs","CIMR","12828_001_P1","1","11340","27590","9"
"10","CD4+CCR7-CD45RA+","CCR7-CD45RA+","CD4+","12828_001_P1.fcs","CIMR","12828_001_P1","1","171","27590","10"
"11","CD4+CCR7+CD45RA+","CCR7+CD45RA+","CD4+","12828_001_P1.fcs","CIMR","12828_001_P1","1","12119","27590","11"
"12","CD8+CCR7-CD45RA-","CCR7-CD45RA-","CD8+","12828_001_P1.fcs","CIMR","12828_001_P1","1","7574","29320","12"
"13","CD8+CCR7+CD45RA-","CCR7+CD45RA-","CD8+","12828_001_P1.fcs","CIMR","12828_001_P1","1","1027","29320","13"
"14","CD8+CCR7-CD45RA+","CCR7-CD45RA+","CD8+","12828_001_P1.fcs","CIMR","12828_001_P1","1","9889","29320","14"
"15","CD8+CCR7+CD45RA+","CCR7+CD45RA+","CD8+","12828_001_P1.fcs","CIMR","12828_001_P1","1","10830","29320","15"
"16","CD4+CD38-DR-","38-DR-","CD4+","12828_001_P1.fcs","CIMR","12828_001_P1","1","13988","27590","16"
"17","CD4+CD38+DR-","38+DR-","CD4+","12828_001_P1.fcs","CIMR","12828_001_P1","1","12540","27590","17"
"18","CD4+CD38-DR+","38-DR+","CD4+","12828_001_P1.fcs","CIMR","12828_001_P1","1","729","27590","18"
"19","CD4+CD38+DR+","38+DR+","CD4+","12828_001_P1.fcs","CIMR","12828_001_P1","1","333","27590","19"
"20","CD8+CD38-DR-","38-DR-","CD8+","12828_001_P1.fcs","CIMR","12828_001_P1","1","25322","29320","20"
"21","CD8+CD38+DR-","38+DR-","CD8+","12828_001_P1.fcs","CIMR","12828_001_P1","1","2532","29320","21"
"22","CD8+CD38-DR+","38-DR+","CD8+","12828_001_P1.fcs","CIMR","12828_001_P1","1","1066","29320","22"
"23","CD8+CD38+DR+","38+DR+","CD8+","12828_001_P1.fcs","CIMR","12828_001_P1","1","400","29320","23"
"24","","All cells","","12828_002_P1.fcs","CIMR","12828_002_P1","2","169845","","1"
"25","","Lymphocytes","All cells","12828_002_P1.fcs","CIMR","12828_002_P1","2","75792","169845","2"
"26","","Singlets","Lymphocytes","12828_002_P1.fcs","CIMR","12828_002_P1","2","No FSC-H/W channel","75792","3"
"27","","Live","Singlets","12828_002_P1.fcs","CIMR","12828_002_P1","2","71957","75792","4"
"28","CD3+","CD3+","Live","12828_002_P1.fcs","CIMR","12828_002_P1","2","43848","71957","5"
"29","CD4+CD8-","CD4+","CD3+","12828_002_P1.fcs","CIMR","12828_002_P1","2","19564","43848","6"
"30","CD4-CD8+","CD8+","CD3+","12828_002_P1.fcs","CIMR","12828_002_P1","2","21795","43848","7"
"31","CD4+CCR7-CD45RA-","CCR7-CD45RA-","CD4+","12828_002_P1.fcs","CIMR","12828_002_P1","2","2962","19564","8"
"32","CD4+CCR7+CD45RA-","CCR7+CD45RA-","CD4+","12828_002_P1.fcs","CIMR","12828_002_P1","2","8322","19564","9"
"33","CD4+CCR7-CD45RA+","CCR7-CD45RA+","CD4+","12828_002_P1.fcs","CIMR","12828_002_P1","2","104","19564","10"
"34","CD4+CCR7+CD45RA+","CCR7+CD45RA+","CD4+","12828_002_P1.fcs","CIMR","12828_002_P1","2","8176","19564","11"
"35","CD8+CCR7-CD45RA-","CCR7-CD45RA-","CD8+","12828_002_P1.fcs","CIMR","12828_002_P1","2","6095","21795","12"
"36","CD8+CCR7+CD45RA-","CCR7+CD45RA-","CD8+","12828_002_P1.fcs","CIMR","12828_002_P1","2","718","21795","13"
"37","CD8+CCR7-CD45RA+","CCR7-CD45RA+","CD8+","12828_002_P1.fcs","CIMR","12828_002_P1","2","7613","21795","14"
"38","CD8+CCR7+CD45RA+","CCR7+CD45RA+","CD8+","12828_002_P1.fcs","CIMR","12828_002_P1","2","7369","21795","15"
"39","CD4+CD38-DR-","38-DR-","CD4+","12828_002_P1.fcs","CIMR","12828_002_P1","2","9382","19564","16"
"40","CD4+CD38+DR-","38+DR-","CD4+","12828_002_P1.fcs","CIMR","12828_002_P1","2","8340","19564","17"
"41","CD4+CD38-DR+","38-DR+","CD4+","12828_002_P1.fcs","CIMR","12828_002_P1","2","1263","19564","18"
"42","CD4+CD38+DR+","38+DR+","CD4+","12828_002_P1.fcs","CIMR","12828_002_P1","2","579","19564","19"
"43","CD8+CD38-DR-","38-DR-","CD8+","12828_002_P1.fcs","CIMR","12828_002_P1","2","18878","21795","20"
"44","CD8+CD38+DR-","38+DR-","CD8+","12828_002_P1.fcs","CIMR","12828_002_P1","2","1827","21795","21"
"45","CD8+CD38-DR+","38-DR+","CD8+","12828_002_P1.fcs","CIMR","12828_002_P1","2","737","21795","22"
"46","CD8+CD38+DR+","38+DR+","CD8+","12828_002_P1.fcs","CIMR","12828_002_P1","2","353","21795","23"
"47","","All cells","","12828_P1.fcs","CIMR","12828_P1","3","254128","","1"
"48","","Lymphocytes","All cells","12828_P1.fcs","CIMR","12828_P1","3","119666","254128","2"
"49","","Singlets","Lymphocytes","12828_P1.fcs","CIMR","12828_P1","3","No FSC-H/W channel","119666","3"
"50","","Live","Singlets","12828_P1.fcs","CIMR","12828_P1","3","113858","119666","4"
"51","CD3+","CD3+","Live","12828_P1.fcs","CIMR","12828_P1","3","70706","113858","5"
"52","CD4+CD8-","CD4+","CD3+","12828_P1.fcs","CIMR","12828_P1","3","32500","70706","6"
"53","CD4-CD8+","CD8+","CD3+","12828_P1.fcs","CIMR","12828_P1","3","34518","70706","7"
"54","CD4+CCR7-CD45RA-","CCR7-CD45RA-","CD4+","12828_P1.fcs","CIMR","12828_P1","3","4837","32500","8"
"55","CD4+CCR7+CD45RA-","CCR7+CD45RA-","CD4+","12828_P1.fcs","CIMR","12828_P1","3","13478","32500","9"
"56","CD4+CCR7-CD45RA+","CCR7-CD45RA+","CD4+","12828_P1.fcs","CIMR","12828_P1","3","157","32500","10"
"57","CD4+CCR7+CD45RA+","CCR7+CD45RA+","CD4+","12828_P1.fcs","CIMR","12828_P1","3","14028","32500","11"
"58","CD8+CCR7-CD45RA-","CCR7-CD45RA-","CD8+","12828_P1.fcs","CIMR","12828_P1","3","9364","34518","12"
"59","CD8+CCR7+CD45RA-","CCR7+CD45RA-","CD8+","12828_P1.fcs","CIMR","12828_P1","3","1172","34518","13"
"60","CD8+CCR7-CD45RA+","CCR7-CD45RA+","CD8+","12828_P1.fcs","CIMR","12828_P1","3","11411","34518","14"
"61","CD8+CCR7+CD45RA+","CCR7+CD45RA+","CD8+","12828_P1.fcs","CIMR","12828_P1","3","12571","34518","15"
"62","CD4+CD38-DR-","38-DR-","CD4+","12828_P1.fcs","CIMR","12828_P1","3","15663","32500","16"
"63","CD4+CD38+DR-","38+DR-","CD4+","12828_P1.fcs","CIMR","12828_P1","3","14312","32500","17"
"64","CD4+CD38-DR+","38-DR+","CD4+","12828_P1.fcs","CIMR","12828_P1","3","1831","32500","18"
"65","CD4+CD38+DR+","38+DR+","CD4+","12828_P1.fcs","CIMR","12828_P1","3","694","32500","19"
"66","CD8+CD38-DR-","38-DR-","CD8+","12828_P1.fcs","CIMR","12828_P1","3","29830","34518","20"
"67","CD8+CD38+DR-","38+DR-","CD8+","12828_P1.fcs","CIMR","12828_P1","3","2962","34518","21"
"68","CD8+CD38-DR+","38-DR+","CD8+","12828_P1.fcs","CIMR","12828_P1","3","1236","34518","22"
"69","CD8+CD38+DR+","38+DR+","CD8+","12828_P1.fcs","CIMR","12828_P1","3","490","34518","23"
"70","","All cells","","1349_001_P1.fcs","CIMR","1349_001_P1","1","156025","","1"
"71","","Lymphocytes","All cells","1349_001_P1.fcs","CIMR","1349_001_P1","1","71573","156025","2"
"72","","Singlets","Lymphocytes","1349_001_P1.fcs","CIMR","1349_001_P1","1","No FSC-H/W channel","71573","3"
"73","","Live","Singlets","1349_001_P1.fcs","CIMR","1349_001_P1","1","67994","71573","4"
"74","CD3+","CD3+","Live","1349_001_P1.fcs","CIMR","1349_001_P1","1","51602","67994","5"
"75","CD4+CD8-","CD4+","CD3+","1349_001_P1.fcs","CIMR","1349_001_P1","1","25245","51602","6"
"76","CD4-CD8+","CD8+","CD3+","1349_001_P1.fcs","CIMR","1349_001_P1","1","21047","51602","7"
"77","CD4+CCR7-CD45RA-","CCR7-CD45RA-","CD4+","1349_001_P1.fcs","CIMR","1349_001_P1","1","7213","25245","8"
"78","CD4+CCR7+CD45RA-","CCR7+CD45RA-","CD4+","1349_001_P1.fcs","CIMR","1349_001_P1","1","7864","25245","9"
"79","CD4+CCR7-CD45RA+","CCR7-CD45RA+","CD4+","1349_001_P1.fcs","CIMR","1349_001_P1","1","873","25245","10"
"80","CD4+CCR7+CD45RA+","CCR7+CD45RA+","CD4+","1349_001_P1.fcs","CIMR","1349_001_P1","1","9295","25245","11"
"81","CD8+CCR7-CD45RA-","CCR7-CD45RA-","CD8+","1349_001_P1.fcs","CIMR","1349_001_P1","1","4800","21047","12"
"82","CD8+CCR7+CD45RA-","CCR7+CD45RA-","CD8+","1349_001_P1.fcs","CIMR","1349_001_P1","1","545","21047","13"
"83","CD8+CCR7-CD45RA+","CCR7-CD45RA+","CD8+","1349_001_P1.fcs","CIMR","1349_001_P1","1","6074","21047","14"
"84","CD8+CCR7+CD45RA+","CCR7+CD45RA+","CD8+","1349_001_P1.fcs","CIMR","1349_001_P1","1","9628","21047","15"
"85","CD4+CD38-DR-","38-DR-","CD4+","1349_001_P1.fcs","CIMR","1349_001_P1","1","13441","25245","16"
"86","CD4+CD38+DR-","38+DR-","CD4+","1349_001_P1.fcs","CIMR","1349_001_P1","1","9645","25245","17"
"87","CD4+CD38-DR+","38-DR+","CD4+","1349_001_P1.fcs","CIMR","1349_001_P1","1","1627","25245","18"
"88","CD4+CD38+DR+","38+DR+","CD4+","1349_001_P1.fcs","CIMR","1349_001_P1","1","532","25245","19"
"89","CD8+CD38-DR-","38-DR-","CD8+","1349_001_P1.fcs","CIMR","1349_001_P1","1","18214","21047","20"
"90","CD8+CD38+DR-","38+DR-","CD8+","1349_001_P1.fcs","CIMR","1349_001_P1","1","1780","21047","21"
"91","CD8+CD38-DR+","38-DR+","CD8+","1349_001_P1.fcs","CIMR","1349_001_P1","1","728","21047","22"
"92","CD8+CD38+DR+","38+DR+","CD8+","1349_001_P1.fcs","CIMR","1349_001_P1","1","325","21047","23"
"93","","All cells","","1349_002_P1.fcs","CIMR","1349_002_P1","2","153171","","1"
"94","","Lymphocytes","All cells","1349_002_P1.fcs","CIMR","1349_002_P1","2","70227","153171","2"
"95","","Singlets","Lymphocytes","1349_002_P1.fcs","CIMR","1349_002_P1","2","No FSC-H/W channel","70227","3"
"96","","Live","Singlets","1349_002_P1.fcs","CIMR","1349_002_P1","2","66715","70227","4"
"97","CD3+","CD3+","Live","1349_002_P1.fcs","CIMR","1349_002_P1","2","50857","66715","5"
