"","Phenotype","Population","Parent population","Filename","Center","Sample","Replicate","Cell count","Parent Cell count","Population #"
"1","","All cells","","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","190559","","1"
"2","","Lymphocytes","All cells","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","92608","190559","2"
"3","","Singlets","Lymphocytes","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","89412","92608","3"
"4","","Live","Singlets","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","85942","89412","4"
"5","CD3+","CD3+","Live","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","55574","85942","5"
"6","CD4+CD8-","CD4+","CD3+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","26180","55574","6"
"7","CD4-CD8+","CD8+","CD3+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","26556","55574","7"
"8","CD4+CXCR3-CCR6-","CXCR3-CCR6-","CD4+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","22360","26180","8"
"9","CD4+CXCR3+CCR6-","CXCR3+CCR6-","CD4+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","2772","26180","9"
"10","CD4+CXCR3-CCR6+","CXCR3-CCR6+","CD4+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","868","26180","10"
"11","CD4+CXCR3+CCR6+","CXCR3+CCR6+","CD4+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","180","26180","11"
"12","CD8+CXCR3-CCR6-","CXCR3-CCR6-","CD8+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","21764","26556","12"
"13","CD8+CXCR3+CCR6-","CXCR3+CCR6-","CD8+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","3729","26556","13"
"14","CD8+CXCR3-CCR6+","CXCR3-CCR6+","CD8+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","888","26556","14"
"15","CD8+CXCR3+CCR6+","CXCR3+CCR6+","CD8+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","175","26556","15"
"16","CD4+CD38-DR-","38-DR-","CD4+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","13271","26180","16"
"17","CD4+CD38+DR-","38+DR-","CD4+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","11925","26180","17"
"18","CD4+CD38-DR+","38-DR+","CD4+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","678","26180","18"
"19","CD4+CD38+DR+","38+DR+","CD4+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","306","26180","19"
"20","CD8+CD38-DR-","38-DR-","CD8+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","24532","26556","20"
"21","CD8+CD38+DR-","38+DR-","CD8+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","1621","26556","21"
"22","CD8+CD38-DR+","38-DR+","CD8+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","284","26556","22"
"23","CD8+CD38+DR+","38+DR+","CD8+","TH1_TH2_TH17_12828_001_P1.fcs","CIMR","TH1_TH2_TH17_12828_001_P1","1","119","26556","23"
"24","","All cells","","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","186331","","1"
"25","","Lymphocytes","All cells","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","92198","186331","2"
"26","","Singlets","Lymphocytes","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","88979","92198","3"
"27","","Live","Singlets","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","85385","88979","4"
"28","CD3+","CD3+","Live","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","54822","85385","5"
"29","CD4+CD8-","CD4+","CD3+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","25799","54822","6"
"30","CD4-CD8+","CD8+","CD3+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","26188","54822","7"
"31","CD4+CXCR3-CCR6-","CXCR3-CCR6-","CD4+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","21630","25799","8"
"32","CD4+CXCR3+CCR6-","CXCR3+CCR6-","CD4+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","3137","25799","9"
"33","CD4+CXCR3-CCR6+","CXCR3-CCR6+","CD4+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","810","25799","10"
"34","CD4+CXCR3+CCR6+","CXCR3+CCR6+","CD4+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","222","25799","11"
"35","CD8+CXCR3-CCR6-","CXCR3-CCR6-","CD8+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","20954","26188","12"
"36","CD8+CXCR3+CCR6-","CXCR3+CCR6-","CD8+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","4186","26188","13"
"37","CD8+CXCR3-CCR6+","CXCR3-CCR6+","CD8+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","856","26188","14"
"38","CD8+CXCR3+CCR6+","CXCR3+CCR6+","CD8+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","192","26188","15"
"39","CD4+CD38-DR-","38-DR-","CD4+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","13064","25799","16"
"40","CD4+CD38+DR-","38+DR-","CD4+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","11445","25799","17"
"41","CD4+CD38-DR+","38-DR+","CD4+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","945","25799","18"
"42","CD4+CD38+DR+","38+DR+","CD4+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","345","25799","19"
"43","CD8+CD38-DR-","38-DR-","CD8+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","24247","26188","20"
"44","CD8+CD38+DR-","38+DR-","CD8+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","1445","26188","21"
"45","CD8+CD38-DR+","38-DR+","CD8+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","357","26188","22"
"46","CD8+CD38+DR+","38+DR+","CD8+","TH1_TH2_TH17_12828_002_P1.fcs","CIMR","TH1_TH2_TH17_12828_002_P1","2","139","26188","23"
"47","","All cells","","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","192185","","1"
"48","","Lymphocytes","All cells","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","93512","192185","2"
"49","","Singlets","Lymphocytes","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","90253","93512","3"
"50","","Live","Singlets","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","86908","90253","4"
"51","CD3+","CD3+","Live","TH1_TH2_TH17_12828_P1.fcs","CIMR","TH1_TH2_TH17_12828_P1","3","56054","86908","5"
