"","Phenotype","Population","Parent population","Filename","Center","Sample","Replicate","Cell count","Parent Cell count","Population #"
"1","","All cells","","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","186020","","1"
"2","","Lymphocytes","All cells","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","94110","186020","2"
"3","","Singlets","Lymphocytes","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","90891","94110","3"
"4","","Live","Singlets","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","86346","90891","4"
"5","CD3+","CD3+","Live","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","55713","86346","5"
"6","CD4+","CD4+","CD3+","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","21295","55713","6"
"7","CD25+CD127-","CD25+CD127-","CD4+","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","2263","21295","7"
"8","CCR4-CD45RO-","CCR4-CD45RO-","CD25+CD127-","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","533","2263","8"
"9","CCR4+CD45RO-","CCR4+CD45RO-","CD25+CD127-","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","62","2263","9"
"10","CCR4-CD45RO+","CCR4-CD45RO+","CD25+CD127-","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","585","2263","10"
"11","CCR4+CD45RO+","CCR4+CD45RO+","CD25+CD127-","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","1083","2263","11"
"12","CCR4-DR-","CCR4-DR-","CD25+CD127-","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","887","2263","12"
"13","CCR4+DR-","CCR4+DR-","CD25+CD127-","TREG_12828_001_P1.fcs","CIMR","TREG_12828_001_P1","1","955","2263","13"
