Population Phenotype Filename Center Sample Replicate 'Cell Count' 'Parent Population' 'Parent Count' 'Proportion of Parent'
'All cells'  12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 405700 none 405700 1
'Lympho and Mono'  12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 255851 'All cells' 405700 0.6306
'Live Cells'  12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 233645 'Lympho and Mono' 255851 0.9132
CD14-Lineage- CD3-CD19-CD20-CD14- 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 30983 'Live Cells' 233645 0.1326
Monocytes CD3-CD19-CD20-CD14+ 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 43844 'Live Cells' 233645 0.1877
CD14+CD16+ CD3-CD19-CD20-CD14+CD16+ 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 86 Monocytes 43844 0.002
CD16-CD56- CD3-CD19-CD20-CD14-CD16-CD56- 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 14524 CD14-Lineage- 30983 0.4688
CD16+CD56- CD3-CD19-CD20-CD14-CD16+CD56- 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 1091 CD14-Lineage- 30983 0.0352
CD16+CD56+ CD3-CD19-CD20-CD14-CD16+CD56+ 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 6546 CD14-Lineage- 30983 0.2113
CD16-CD56+ CD3-CD19-CD20-CD14-CD16-CD56+ 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 8822 CD14-Lineage- 30983 0.2847
HLADR+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+ 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 7071 CD16-CD56- 14524 0.4868
CD11c-CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123- 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 280 HLADR+ 7071 0.0396
CD11c+CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123- 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 6305 HLADR+ 7071 0.8917
CD11c+CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123+ 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 129 HLADR+ 7071 0.0182
CD11c-CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123+ 12828_1_DC,2f,MONO,2f,NK.fcs Baylor 12828 1 357 HLADR+ 7071 0.0505
'All cells'  12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 362093 none 362093 1
'Lympho and Mono'  12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 233278 'All cells' 362093 0.6442
'Live Cells'  12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 211187 'Lympho and Mono' 233278 0.9053
CD14-Lineage- CD3-CD19-CD20-CD14- 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 29242 'Live Cells' 211187 0.1385
Monocytes CD3-CD19-CD20-CD14+ 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 35615 'Live Cells' 211187 0.1686
CD14+CD16+ CD3-CD19-CD20-CD14+CD16+ 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 41 Monocytes 35615 0.0012
CD16-CD56- CD3-CD19-CD20-CD14-CD16-CD56- 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 13139 CD14-Lineage- 29242 0.4493
CD16+CD56- CD3-CD19-CD20-CD14-CD16+CD56- 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 1000 CD14-Lineage- 29242 0.0342
CD16+CD56+ CD3-CD19-CD20-CD14-CD16+CD56+ 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 6057 CD14-Lineage- 29242 0.2071
CD16-CD56+ CD3-CD19-CD20-CD14-CD16-CD56+ 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 9046 CD14-Lineage- 29242 0.3093
HLADR+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+ 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 6119 CD16-CD56- 13139 0.4657
CD11c-CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123- 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 250 HLADR+ 6119 0.0409
CD11c+CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123- 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 5434 HLADR+ 6119 0.8881
CD11c+CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123+ 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 111 HLADR+ 6119 0.0181
CD11c-CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123+ 12828_2_DC,2f,MONO,2f,NK.fcs Baylor 12828 2 324 HLADR+ 6119 0.0529
'All cells'  12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 369962 none 369962 1
'Lympho and Mono'  12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 231584 'All cells' 369962 0.626
'Live Cells'  12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 210611 'Lympho and Mono' 231584 0.9094
CD14-Lineage- CD3-CD19-CD20-CD14- 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 28508 'Live Cells' 210611 0.1354
Monocytes CD3-CD19-CD20-CD14+ 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 36620 'Live Cells' 210611 0.1739
CD14+CD16+ CD3-CD19-CD20-CD14+CD16+ 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 61 Monocytes 36620 0.0017
CD16-CD56- CD3-CD19-CD20-CD14-CD16-CD56- 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 13188 CD14-Lineage- 28508 0.4626
CD16+CD56- CD3-CD19-CD20-CD14-CD16+CD56- 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 936 CD14-Lineage- 28508 0.0328
CD16+CD56+ CD3-CD19-CD20-CD14-CD16+CD56+ 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 5620 CD14-Lineage- 28508 0.1971
CD16-CD56+ CD3-CD19-CD20-CD14-CD16-CD56+ 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 8764 CD14-Lineage- 28508 0.3074
HLADR+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+ 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 6530 CD16-CD56- 13188 0.4951
CD11c-CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123- 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 292 HLADR+ 6530 0.0447
CD11c+CD123- CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123- 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 5789 HLADR+ 6530 0.8865
CD11c+CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c+CD123+ 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 119 HLADR+ 6530 0.0182
CD11c-CD123+ CD3-CD19-CD20-CD14-CD16-CD56-HLADR+CD11c-CD123+ 12828_3_DC,2f,MONO,2f,NK.fcs Baylor 12828 3 330 HLADR+ 6530 0.0505
'All cells'  1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 474591 none 474591 1
'Lympho and Mono'  1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 262074 'All cells' 474591 0.5522
'Live Cells'  1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 240189 'Lympho and Mono' 262074 0.9165
CD14-Lineage- CD3-CD19-CD20-CD14- 1349_1_DC,2f,MONO,2f,NK.fcs Baylor 1349 1 37908 'Live Cells' 240189 0.1578
