"Population","Filename","Center","Sample","Replicate","Proportion","Count","Parent","Count_Parent"
"CD16-CD56-","1228-1_D1_D01.fcs","Stanford","12828","1",0.250044608338785,4204,"CD14-Lineage-",16813
"CD16+CD56+","1228-1_D1_D01.fcs","Stanford","12828","1",0.334681496461072,5627,"CD14-Lineage-",16813
"CD16-CD56+","1228-1_D1_D01.fcs","Stanford","12828","1",0.35115684291917,5904,"CD14-Lineage-",16813
"CD16+CD56-","1228-1_D1_D01.fcs","Stanford","12828","1",0.0641170522809731,1078,"CD14-Lineage-",16813
"CD14+CD16+","1228-1_D1_D01.fcs","Stanford","12828","1",0.00560009572813211,234,"CD14+Lineage-",41785
"HLADR+","1228-1_D1_D01.fcs","Stanford","12828","1",0.779971455756422,3279,"CD16-CD56-",4204
"CD11c+CD123-","1228-1_D1_D01.fcs","Stanford","12828","1",0.46965538273864,1540,"HLADR+",3279
"CD11c-CD123-","1228-1_D1_D01.fcs","Stanford","12828","1",0.10704483074108,351,"HLADR+",3279
"CD11c+CD123+","1228-1_D1_D01.fcs","Stanford","12828","1",0.28392802683745,931,"HLADR+",3279
"CD11c-CD123+","1228-1_D1_D01.fcs","Stanford","12828","1",0.13937175968283,457,"HLADR+",3279
"CD14-Lineage-","1228-1_D1_D01.fcs","Stanford","12828","1",0.113950131144652,16813,"Live",147547
"CD14+Lineage-","1228-1_D1_D01.fcs","Stanford","12828","1",0.283197896263563,41785,"Live",147547
"CD16-CD56-","1228-2_D2_D02.fcs","Stanford","12828","2",0.251856594110115,3934,"CD14-Lineage-",15620
"CD16+CD56+","1228-2_D2_D02.fcs","Stanford","12828","2",0.340845070422535,5324,"CD14-Lineage-",15620
"CD16-CD56+","1228-2_D2_D02.fcs","Stanford","12828","2",0.329577464788732,5148,"CD14-Lineage-",15620
"CD16+CD56-","1228-2_D2_D02.fcs","Stanford","12828","2",0.0777208706786172,1214,"CD14-Lineage-",15620
"CD14+CD16+","1228-2_D2_D02.fcs","Stanford","12828","2",0.00648967551622419,253,"CD14+Lineage-",38985
"HLADR+","1228-2_D2_D02.fcs","Stanford","12828","2",0.791052364006101,3112,"CD16-CD56-",3934
"CD11c+CD123-","1228-2_D2_D02.fcs","Stanford","12828","2",0.533419023136247,1660,"HLADR+",3112
"CD11c-CD123-","1228-2_D2_D02.fcs","Stanford","12828","2",0.0915809768637532,285,"HLADR+",3112
"CD11c+CD123+","1228-2_D2_D02.fcs","Stanford","12828","2",0.281169665809769,875,"HLADR+",3112
"CD11c-CD123+","1228-2_D2_D02.fcs","Stanford","12828","2",0.0938303341902314,292,"HLADR+",3112
"CD14-Lineage-","1228-2_D2_D02.fcs","Stanford","12828","2",0.118148949366897,15620,"Live",132206
"CD14+Lineage-","1228-2_D2_D02.fcs","Stanford","12828","2",0.294880716457649,38985,"Live",132206
"CD16+CD56+","1228-3_D3_D03.fcs","Stanford","12828","3",0.336751311900597,5583,"CD14-Lineage-",16579
"CD16-CD56+","1228-3_D3_D03.fcs","Stanford","12828","3",0.323964050907775,5371,"CD14-Lineage-",16579
"CD16-CD56-","1228-3_D3_D03.fcs","Stanford","12828","3",0.261475360395681,4335,"CD14-Lineage-",16579
"CD16+CD56-","1228-3_D3_D03.fcs","Stanford","12828","3",0.0778092767959467,1290,"CD14-Lineage-",16579
"CD14+CD16+","1228-3_D3_D03.fcs","Stanford","12828","3",0.00517178584436081,213,"CD14+Lineage-",41185
"HLADR+","1228-3_D3_D03.fcs","Stanford","12828","3",0.77277970011534,3350,"CD16-CD56-",4335
"CD11c+CD123-","1228-3_D3_D03.fcs","Stanford","12828","3",0.527462686567164,1767,"HLADR+",3350
"CD11c-CD123-","1228-3_D3_D03.fcs","Stanford","12828","3",0.086865671641791,291,"HLADR+",3350
"CD11c+CD123+","1228-3_D3_D03.fcs","Stanford","12828","3",0.296417910447761,993,"HLADR+",3350
"CD11c-CD123+","1228-3_D3_D03.fcs","Stanford","12828","3",0.0892537313432836,299,"HLADR+",3350
"CD14-Lineage-","1228-3_D3_D03.fcs","Stanford","12828","3",0.120889297224774,16579,"Live",137142
"CD14+Lineage-","1228-3_D3_D03.fcs","Stanford","12828","3",0.30030916859897,41185,"Live",137142
"CD16-CD56+","12828_1_D1_D01.fcs","Yale","12828","1",0.20555898702903,1664,"CD14-Lineage-",8095
"CD16-CD56-","12828_1_D1_D01.fcs","Yale","12828","1",0.41408276714021,3352,"CD14-Lineage-",8095
"CD16+CD56-","12828_1_D1_D01.fcs","Yale","12828","1",0.093514515132798,757,"CD14-Lineage-",8095
"CD16+CD56+","12828_1_D1_D01.fcs","Yale","12828","1",0.286843730697962,2322,"CD14-Lineage-",8095
"CD14+CD16+","12828_1_D1_D01.fcs","Yale","12828","1",0.00725676791378786,167,"CD14+Lineage-",23013
"HLADR+","12828_1_D1_D01.fcs","Yale","12828","1",0.420047732696897,1408,"CD16-CD56-",3352
"CD11c-CD123-","12828_1_D1_D01.fcs","Yale","12828","1",0.0625,88,"HLADR+",1408
"CD11c+CD123+","12828_1_D1_D01.fcs","Yale","12828","1",0.105113636363636,148,"HLADR+",1408
"CD11c-CD123+","12828_1_D1_D01.fcs","Yale","12828","1",0.229403409090909,323,"HLADR+",1408
"CD11c+CD123-","12828_1_D1_D01.fcs","Yale","12828","1",0.602982954545455,849,"HLADR+",1408
"CD14-Lineage-","12828_1_D1_D01.fcs","Yale","12828","1",0.12680336471436,8095,"Live",63839
"CD14+Lineage-","12828_1_D1_D01.fcs","Yale","12828","1",0.360484970002663,23013,"Live",63839
"CD16-CD56+","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.22232405271308,7035,"CD14-Lineage-",31643
"CD16+CD56-","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.0520178238472964,1646,"CD14-Lineage-",31643
"CD16-CD56-","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.442973169421357,14017,"CD14-Lineage-",31643
"CD16+CD56+","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.282684954018266,8945,"CD14-Lineage-",31643
"CD14+CD16+","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.0141115896197181,888,"CD14+Lineage-",62927
"HLADR+","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.602982093172576,8452,"CD16-CD56-",14017
"CD11c+CD123+","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.384287742546143,3248,"HLADR+",8452
"CD11c-CD123-","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.0672030288689068,568,"HLADR+",8452
"CD11c+CD123-","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.505560814008519,4273,"HLADR+",8452
"CD11c-CD123+","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.0429484145764316,363,"HLADR+",8452
"CD14-Lineage-","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.117976250396137,31643,"Live",268215
"CD14+Lineage-","12828_1_DC,2f,MONO,2f,NK.fcs","Baylor","12828","1",0.23461402233283,62927,"Live",268215
"CD16-CD56-","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.371005639097744,3158,"CD14-Lineage-",8512
"CD16+CD56-","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.084468984962406,719,"CD14-Lineage-",8512
"CD16+CD56+","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.447955827067669,3813,"CD14-Lineage-",8512
"CD16-CD56+","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.0965695488721805,822,"CD14-Lineage-",8512
"CD14+CD16+","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.0259720379630575,509,"CD14+Lineage-",19598
"HLADR+","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.361937935402153,1143,"CD16-CD56-",3158
"CD11c-CD123-","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.288713910761155,330,"HLADR+",1143
"CD11c+CD123+","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.0131233595800525,15,"HLADR+",1143
"CD11c-CD123+","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.191601049868766,219,"HLADR+",1143
"CD11c+CD123-","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.506561679790026,579,"HLADR+",1143
"CD14+Lineage-","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.323666391412056,19598,"Live",60550
"CD14-Lineage-","12828_1_DcMonNk_D01.fcs","NHLBI","12828","1",0.140578034682081,8512,"Live",60550
"CD16-CD56-","12828_2_D2_D02.fcs","Yale","12828","2",0.405401773716743,3017,"CD14-Lineage-",7442
"CD16+CD56+","12828_2_D2_D02.fcs","Yale","12828","2",0.274254232733136,2041,"CD14-Lineage-",7442
"CD16+CD56-","12828_2_D2_D02.fcs","Yale","12828","2",0.0717549045955388,534,"CD14-Lineage-",7442
"CD16-CD56+","12828_2_D2_D02.fcs","Yale","12828","2",0.248589088954582,1850,"CD14-Lineage-",7442
"CD14+CD16+","12828_2_D2_D02.fcs","Yale","12828","2",0.00665630162277718,137,"CD14+Lineage-",20582
"HLADR+","12828_2_D2_D02.fcs","Yale","12828","2",0.422936692078223,1276,"CD16-CD56-",3017
"CD11c+CD123+","12828_2_D2_D02.fcs","Yale","12828","2",0.16692789968652,213,"HLADR+",1276
"CD11c+CD123-","12828_2_D2_D02.fcs","Yale","12828","2",0.509404388714734,650,"HLADR+",1276
"CD11c-CD123-","12828_2_D2_D02.fcs","Yale","12828","2",0.0642633228840125,82,"HLADR+",1276
"CD11c-CD123+","12828_2_D2_D02.fcs","Yale","12828","2",0.259404388714734,331,"HLADR+",1276
"CD14+Lineage-","12828_2_D2_D02.fcs","Yale","12828","2",0.343348069063308,20582,"Live",59945
"CD14-Lineage-","12828_2_D2_D02.fcs","Yale","12828","2",0.124147134873634,7442,"Live",59945
"CD16+CD56+","12828_2_DC,2f,MONO,2f,NK.fcs","Baylor","12828","2",0.267933271547729,8673,"CD14-Lineage-",32370
"CD16+CD56-","12828_2_DC,2f,MONO,2f,NK.fcs","Baylor","12828","2",0.04967562557924,1608,"CD14-Lineage-",32370
"CD16-CD56-","12828_2_DC,2f,MONO,2f,NK.fcs","Baylor","12828","2",0.452672227371023,14653,"CD14-Lineage-",32370
"CD16-CD56+","12828_2_DC,2f,MONO,2f,NK.fcs","Baylor","12828","2",0.229718875502008,7436,"CD14-Lineage-",32370
"CD14+CD16+","12828_2_DC,2f,MONO,2f,NK.fcs","Baylor","12828","2",0.0114011227501592,591,"CD14+Lineage-",51837
"HLADR+","12828_2_DC,2f,MONO,2f,NK.fcs","Baylor","12828","2",0.548761345799495,8041,"CD16-CD56-",14653
"CD11c-CD123-","12828_2_DC,2f,MONO,2f,NK.fcs","Baylor","12828","2",0.0565850018654396,455,"HLADR+",8041
"CD11c+CD123-","12828_2_DC,2f,MONO,2f,NK.fcs","Baylor","12828","2",0.563984579032459,4535,"HLADR+",8041
"CD11c-CD123+","12828_2_DC,2f,MONO,2f,NK.fcs","Baylor","12828","2",0.0414127596070141,333,"HLADR+",8041
"CD11c+CD123+","12828_2_DC,2f,MONO,2f,NK.fcs","Baylor","12828","2",0.338017659495088,2718,"HLADR+",8041
