"Population","Filename","Center","Sample","Replicate","Proportion","Count","Parent","Count_Parent"
"Plasmablasts","1228-1_C1_C01.fcs","Stanford","12828","1",0.583333333333333,21,"CD19&!CD20",36
"IgD-CD27-","1228-1_C1_C01.fcs","Stanford","12828","1",0.194181713958154,1355,"CD19&CD20",6978
"IgD-CD27+","1228-1_C1_C01.fcs","Stanford","12828","1",0.0689309257666953,481,"CD19&CD20",6978
"IgD+CD27-","1228-1_C1_C01.fcs","Stanford","12828","1",0.718400687876182,5013,"CD19&CD20",6978
"Transitional","1228-1_C1_C01.fcs","Stanford","12828","1",0.0558899398108341,390,"CD19&CD20",6978
"IgD+CD27+","1228-1_C1_C01.fcs","Stanford","12828","1",0.0184866723989682,129,"CD19&CD20",6978
"CD19","1228-1_C1_C01.fcs","Stanford","12828","1",0.295787120988487,7014,"Live",23713
"CD3","1228-1_C1_C01.fcs","Stanford","12828","1",0.545354868637456,12932,"Live",23713
"CD20","1228-1_C1_C01.fcs","Stanford","12828","1",0.297178762704002,7047,"Live",23713
"Lymphocytes","1228-1_C1_C01.fcs","Stanford","12828","1",1,25026,"nonDebris",25026
"Plasmablasts","1228-2_C2_C02.fcs","Stanford","12828","2",0.694444444444444,25,"CD19&!CD20",36
"IgD+CD27-","1228-2_C2_C02.fcs","Stanford","12828","2",0.710966693744923,4376,"CD19&CD20",6155
"IgD-CD27-","1228-2_C2_C02.fcs","Stanford","12828","2",0.203086921202275,1250,"CD19&CD20",6155
"IgD-CD27+","1228-2_C2_C02.fcs","Stanford","12828","2",0.0682372055239643,420,"CD19&CD20",6155
"Transitional","1228-2_C2_C02.fcs","Stanford","12828","2",0.0562144597887896,346,"CD19&CD20",6155
"IgD+CD27+","1228-2_C2_C02.fcs","Stanford","12828","2",0.0177091795288383,109,"CD19&CD20",6155
"CD19","1228-2_C2_C02.fcs","Stanford","12828","2",0.27581751759779,6191,"Live",22446
"CD20","1228-2_C2_C02.fcs","Stanford","12828","2",0.278000534616413,6240,"Live",22446
"CD3","1228-2_C2_C02.fcs","Stanford","12828","2",0.56036710327007,12578,"Live",22446
"Lymphocytes","1228-2_C2_C02.fcs","Stanford","12828","2",1,24034,"nonDebris",24034
"Plasmablasts","1228-3_C3_C03.fcs","Stanford","12828","3",0.5,18,"CD19&!CD20",36
"IgD-CD27+","1228-3_C3_C03.fcs","Stanford","12828","3",0.0673076923076923,399,"CD19&CD20",5928
"IgD-CD27-","1228-3_C3_C03.fcs","Stanford","12828","3",0.198717948717949,1178,"CD19&CD20",5928
"Transitional","1228-3_C3_C03.fcs","Stanford","12828","3",0.0502699055330634,298,"CD19&CD20",5928
"IgD+CD27+","1228-3_C3_C03.fcs","Stanford","12828","3",0.0237854251012146,141,"CD19&CD20",5928
"IgD+CD27-","1228-3_C3_C03.fcs","Stanford","12828","3",0.710188933873144,4210,"CD19&CD20",5928
"CD19","1228-3_C3_C03.fcs","Stanford","12828","3",0.279226555550353,5964,"Live",21359
"CD20","1228-3_C3_C03.fcs","Stanford","12828","3",0.280771571702795,5997,"Live",21359
"CD3","1228-3_C3_C03.fcs","Stanford","12828","3",0.55732946298984,11904,"Live",21359
"Lymphocytes","1228-3_C3_C03.fcs","Stanford","12828","3",1,22639,"nonDebris",22639
"Plasmablasts","12828_1_B CELL.fcs","Baylor","12828","1",0.670588235294118,114,"CD19&!CD20",170
"IgD-CD27-","12828_1_B CELL.fcs","Baylor","12828","1",0.213220013027699,6874,"CD19&CD20",32239
"Transitional","12828_1_B CELL.fcs","Baylor","12828","1",0.060702875399361,1957,"CD19&CD20",32239
"IgD-CD27+","12828_1_B CELL.fcs","Baylor","12828","1",0.0682713483668848,2201,"CD19&CD20",32239
"IgD+CD27+","12828_1_B CELL.fcs","Baylor","12828","1",0.0244424454852818,788,"CD19&CD20",32239
"IgD+CD27-","12828_1_B CELL.fcs","Baylor","12828","1",0.694066193120134,22376,"CD19&CD20",32239
"CD19","12828_1_B CELL.fcs","Baylor","12828","1",0.283583003745056,32409,"Live",114284
"CD20","12828_1_B CELL.fcs","Baylor","12828","1",0.283180497707466,32363,"Live",114284
"CD3","12828_1_B CELL.fcs","Baylor","12828","1",0.624339365090476,71352,"Live",114284
"Lymphocytes","12828_1_B CELL.fcs","Baylor","12828","1",1,122793,"nonDebris",122793
"Plasmablasts","12828_1_Bcell_C01.fcs","NHLBI","12828","1",0.643835616438356,47,"CD19&!CD20",73
"Transitional","12828_1_Bcell_C01.fcs","NHLBI","12828","1",0.0854379365932294,954,"CD19&CD20",11166
"IgD+CD27+","12828_1_Bcell_C01.fcs","NHLBI","12828","1",0.0861543972774494,962,"CD19&CD20",11166
"IgD-CD27+","12828_1_Bcell_C01.fcs","NHLBI","12828","1",0.0559734909546839,625,"CD19&CD20",11166
"IgD+CD27-","12828_1_Bcell_C01.fcs","NHLBI","12828","1",0.817839871037077,9132,"CD19&CD20",11166
"IgD-CD27-","12828_1_Bcell_C01.fcs","NHLBI","12828","1",0.0400322407307899,447,"CD19&CD20",11166
"CD19","12828_1_Bcell_C01.fcs","NHLBI","12828","1",0.216814244651504,11239,"Live",51837
"CD3","12828_1_Bcell_C01.fcs","NHLBI","12828","1",0.625923568107722,32446,"Live",51837
"CD20","12828_1_Bcell_C01.fcs","NHLBI","12828","1",0.217007157049984,11249,"Live",51837
"Lymphocytes","12828_1_Bcell_C01.fcs","NHLBI","12828","1",1,52923,"nonDebris",52923
"Plasmablasts","12828_1_C1_C01.fcs","Yale","12828","1",0.621621621621622,23,"CD19&!CD20",37
"Transitional","12828_1_C1_C01.fcs","Yale","12828","1",0.0403110823071938,311,"CD19&CD20",7715
"IgD-CD27-","12828_1_C1_C01.fcs","Yale","12828","1",0.499027867790019,3850,"CD19&CD20",7715
"IgD+CD27+","12828_1_C1_C01.fcs","Yale","12828","1",0.00751782242384964,58,"CD19&CD20",7715
"IgD-CD27+","12828_1_C1_C01.fcs","Yale","12828","1",0.0845106934543098,652,"CD19&CD20",7715
"IgD+CD27-","12828_1_C1_C01.fcs","Yale","12828","1",0.408943616331821,3155,"CD19&CD20",7715
"CD3","12828_1_C1_C01.fcs","Yale","12828","1",0.633299957087684,22137,"Live",34955
"CD19","12828_1_C1_C01.fcs","Yale","12828","1",0.221770848233443,7752,"Live",34955
"CD20","12828_1_C1_C01.fcs","Yale","12828","1",0.2258046059219,7893,"Live",34955
"Lymphocytes","12828_1_C1_C01.fcs","Yale","12828","1",1,35545,"nonDebris",35545
"Plasmablasts","12828_2_B CELL.fcs","Baylor","12828","2",0.573426573426573,82,"CD19&!CD20",143
"Transitional","12828_2_B CELL.fcs","Baylor","12828","2",0.0506749210198807,1588,"CD19&CD20",31337
"IgD+CD27+","12828_2_B CELL.fcs","Baylor","12828","2",0.0248907042792865,780,"CD19&CD20",31337
"IgD-CD27-","12828_2_B CELL.fcs","Baylor","12828","2",0.234132176021955,7337,"CD19&CD20",31337
"IgD-CD27+","12828_2_B CELL.fcs","Baylor","12828","2",0.0730127325525736,2288,"CD19&CD20",31337
"IgD+CD27-","12828_2_B CELL.fcs","Baylor","12828","2",0.667964387146185,20932,"CD19&CD20",31337
"CD20","12828_2_B CELL.fcs","Baylor","12828","2",0.285431605700281,31446,"Live",110170
"CD3","12828_2_B CELL.fcs","Baylor","12828","2",0.623218662067713,68660,"Live",110170
"CD19","12828_2_B CELL.fcs","Baylor","12828","2",0.285740219660525,31480,"Live",110170
"Lymphocytes","12828_2_B CELL.fcs","Baylor","12828","2",1,119537,"nonDebris",119537
"Plasmablasts","12828_2_Bcell_C02.fcs","NHLBI","12828","2",0.643564356435644,65,"CD19&!CD20",101
"Transitional","12828_2_Bcell_C02.fcs","NHLBI","12828","2",0.0838092518560822,1761,"CD19&CD20",21012
"IgD+CD27+","12828_2_Bcell_C02.fcs","NHLBI","12828","2",0.0845707214924805,1777,"CD19&CD20",21012
"IgD-CD27-","12828_2_Bcell_C02.fcs","NHLBI","12828","2",0.0360270321720921,757,"CD19&CD20",21012
"IgD+CD27-","12828_2_Bcell_C02.fcs","NHLBI","12828","2",0.820864268037312,17248,"CD19&CD20",21012
"IgD-CD27+","12828_2_Bcell_C02.fcs","NHLBI","12828","2",0.0585379782981154,1230,"CD19&CD20",21012
"CD20","12828_2_Bcell_C02.fcs","NHLBI","12828","2",0.223735532284733,21109,"Live",94348
"CD3","12828_2_Bcell_C02.fcs","NHLBI","12828","2",0.632424640691907,59668,"Live",94348
"CD19","12828_2_Bcell_C02.fcs","NHLBI","12828","2",0.223777928519947,21113,"Live",94348
"Lymphocytes","12828_2_Bcell_C02.fcs","NHLBI","12828","2",1,96176,"nonDebris",96176
"Plasmablasts","12828_2_C2_C02.fcs","Yale","12828","2",0.549019607843137,28,"CD19&!CD20",51
"IgD+CD27+","12828_2_C2_C02.fcs","Yale","12828","2",0.0101825842696629,87,"CD19&CD20",8544
"IgD-CD27+","12828_2_C2_C02.fcs","Yale","12828","2",0.0809925093632959,692,"CD19&CD20",8544
"IgD-CD27-","12828_2_C2_C02.fcs","Yale","12828","2",0.433637640449438,3705,"CD19&CD20",8544
"IgD+CD27-","12828_2_C2_C02.fcs","Yale","12828","2",0.475187265917603,4060,"CD19&CD20",8544
"Transitional","12828_2_C2_C02.fcs","Yale","12828","2",0.0456460674157303,390,"CD19&CD20",8544
"CD3","12828_2_C2_C02.fcs","Yale","12828","2",0.619370860927152,22446,"Live",36240
"CD20","12828_2_C2_C02.fcs","Yale","12828","2",0.241970198675497,8769,"Live",36240
"CD19","12828_2_C2_C02.fcs","Yale","12828","2",0.237168874172185,8595,"Live",36240
"Lymphocytes","12828_2_C2_C02.fcs","Yale","12828","2",1,36790,"nonDebris",36790
"Plasmablasts","12828_3_B CELL.fcs","Baylor","12828","3",0.674846625766871,110,"CD19&!CD20",163
"IgD+CD27+","12828_3_B CELL.fcs","Baylor","12828","3",0.0269746646795827,724,"CD19&CD20",26840
"IgD+CD27-","12828_3_B CELL.fcs","Baylor","12828","3",0.670380029806259,17993,"CD19&CD20",26840
"Transitional","12828_3_B CELL.fcs","Baylor","12828","3",0.0538002980625931,1444,"CD19&CD20",26840
"IgD-CD27+","12828_3_B CELL.fcs","Baylor","12828","3",0.0701192250372578,1882,"CD19&CD20",26840
"IgD-CD27-","12828_3_B CELL.fcs","Baylor","12828","3",0.2325260804769,6241,"CD19&CD20",26840
"CD3","12828_3_B CELL.fcs","Baylor","12828","3",0.653814510097233,69932,"Live",106960
"CD19","12828_3_B CELL.fcs","Baylor","12828","3",0.252458863126402,27003,"Live",106960
"CD20","12828_3_B CELL.fcs","Baylor","12828","3",0.252402767389678,26997,"Live",106960
"Lymphocytes","12828_3_B CELL.fcs","Baylor","12828","3",1,115231,"nonDebris",115231
"Plasmablasts","12828_3_Bcell_C03.fcs","NHLBI","12828","3",0.702127659574468,66,"CD19&!CD20",94
"IgD+CD27-","12828_3_Bcell_C03.fcs","NHLBI","12828","3",0.798849755216503,16807,"CD19&CD20",21039
"Transitional","12828_3_Bcell_C03.fcs","NHLBI","12828","3",0.0804220732924569,1692,"CD19&CD20",21039
"IgD-CD27+","12828_3_Bcell_C03.fcs","NHLBI","12828","3",0.0613622320452493,1291,"CD19&CD20",21039
"IgD-CD27-","12828_3_Bcell_C03.fcs","NHLBI","12828","3",0.0545178002756785,1147,"CD19&CD20",21039
