"Population","Filename","Center","Sample","Replicate","Proportion","Count","Parent","Count_Parent"
"CCR4-HLADR+","1228-1_B1_B01.fcs","Stanford","12828","1",0.0254360465116279,35,"CD25+CD127-",1376
"CCR4+CD45RO-","1228-1_B1_B01.fcs","Stanford","12828","1",0.063953488372093,88,"CD25+CD127-",1376
"CCR4+HLADR+","1228-1_B1_B01.fcs","Stanford","12828","1",0.239098837209302,329,"CD25+CD127-",1376
"CCR4+HLADR-","1228-1_B1_B01.fcs","Stanford","12828","1",0.330668604651163,455,"CD25+CD127-",1376
"CCR4-CD45RO-","1228-1_B1_B01.fcs","Stanford","12828","1",0.290697674418605,400,"CD25+CD127-",1376
"CCR4+CD45RO+","1228-1_B1_B01.fcs","Stanford","12828","1",0.505813953488372,696,"CD25+CD127-",1376
"CCR4-HLADR-","1228-1_B1_B01.fcs","Stanford","12828","1",0.404796511627907,557,"CD25+CD127-",1376
"CCR4-CD45RO+","1228-1_B1_B01.fcs","Stanford","12828","1",0.13953488372093,192,"CD25+CD127-",1376
"CD4","1228-1_B1_B01.fcs","Stanford","12828","1",0.416920287508904,12877,"CD3",30886
"Total","1228-1_B1_B01.fcs","Stanford","12828","1",0.0608837462141803,784,"CD4",12877
"Activated","1228-1_B1_B01.fcs","Stanford","12828","1",0.0255494292148792,329,"CD4",12877
"Naive","1228-1_B1_B01.fcs","Stanford","12828","1",0.00683388988118351,88,"CD4",12877
"CD25+CD127-","1228-1_B1_B01.fcs","Stanford","12828","1",0.106857187233051,1376,"CD4",12877
"Memory","1228-1_B1_B01.fcs","Stanford","12828","1",0.0540498563329968,696,"CD4",12877
"CD3","1228-1_B1_B01.fcs","Stanford","12828","1",0.552532245657346,30886,"Live",55899
"Lymphocytes","1228-1_B1_B01.fcs","Stanford","12828","1",1,59013,"nonDebris",59013
"CCR4+CD45RO+","1228-2_B2_B02.fcs","Stanford","12828","2",0.532903225806452,826,"CD25+CD127-",1550
"CCR4+HLADR-","1228-2_B2_B02.fcs","Stanford","12828","2",0.384516129032258,596,"CD25+CD127-",1550
"CCR4-CD45RO+","1228-2_B2_B02.fcs","Stanford","12828","2",0.165161290322581,256,"CD25+CD127-",1550
"CCR4-HLADR+","1228-2_B2_B02.fcs","Stanford","12828","2",0.0219354838709677,34,"CD25+CD127-",1550
"CCR4-CD45RO-","1228-2_B2_B02.fcs","Stanford","12828","2",0.249677419354839,387,"CD25+CD127-",1550
"CCR4-HLADR-","1228-2_B2_B02.fcs","Stanford","12828","2",0.392903225806452,609,"CD25+CD127-",1550
"CCR4+HLADR+","1228-2_B2_B02.fcs","Stanford","12828","2",0.200645161290323,311,"CD25+CD127-",1550
"CCR4+CD45RO-","1228-2_B2_B02.fcs","Stanford","12828","2",0.052258064516129,81,"CD25+CD127-",1550
"CD4","1228-2_B2_B02.fcs","Stanford","12828","2",0.421247306294426,13097,"CD3",31091
"CD25+CD127-","1228-2_B2_B02.fcs","Stanford","12828","2",0.118347713216767,1550,"CD4",13097
"Total","1228-2_B2_B02.fcs","Stanford","12828","2",0.0692525005726502,907,"CD4",13097
"Naive","1228-2_B2_B02.fcs","Stanford","12828","2",0.00618462243261816,81,"CD4",13097
"Memory","1228-2_B2_B02.fcs","Stanford","12828","2",0.0630678781400321,826,"CD4",13097
"Activated","1228-2_B2_B02.fcs","Stanford","12828","2",0.0237458960067191,311,"CD4",13097
"CD3","1228-2_B2_B02.fcs","Stanford","12828","2",0.547781810493675,31091,"Live",56758
"Lymphocytes","1228-2_B2_B02.fcs","Stanford","12828","2",1,60073,"nonDebris",60073
"CCR4+HLADR-","1228-3_B3_B03.fcs","Stanford","12828","3",0.30879345603272,453,"CD25+CD127-",1467
"CCR4+CD45RO+","1228-3_B3_B03.fcs","Stanford","12828","3",0.519427402862986,762,"CD25+CD127-",1467
"CCR4-CD45RO+","1228-3_B3_B03.fcs","Stanford","12828","3",0.149284253578732,219,"CD25+CD127-",1467
"CCR4-CD45RO-","1228-3_B3_B03.fcs","Stanford","12828","3",0.279481935923654,410,"CD25+CD127-",1467
"CCR4+CD45RO-","1228-3_B3_B03.fcs","Stanford","12828","3",0.0518064076346285,76,"CD25+CD127-",1467
"CCR4-HLADR+","1228-3_B3_B03.fcs","Stanford","12828","3",0.0388548057259714,57,"CD25+CD127-",1467
"CCR4+HLADR+","1228-3_B3_B03.fcs","Stanford","12828","3",0.262440354464894,385,"CD25+CD127-",1467
"CCR4-HLADR-","1228-3_B3_B03.fcs","Stanford","12828","3",0.389911383776414,572,"CD25+CD127-",1467
"CD4","1228-3_B3_B03.fcs","Stanford","12828","3",0.432258064516129,12596,"CD3",29140
"CD25+CD127-","1228-3_B3_B03.fcs","Stanford","12828","3",0.116465544617339,1467,"CD4",12596
"Memory","1228-3_B3_B03.fcs","Stanford","12828","3",0.0604953953636075,762,"CD4",12596
"Total","1228-3_B3_B03.fcs","Stanford","12828","3",0.0665290568434424,838,"CD4",12596
"Activated","1228-3_B3_B03.fcs","Stanford","12828","3",0.0305652588123214,385,"CD4",12596
"Naive","1228-3_B3_B03.fcs","Stanford","12828","3",0.00603366147983487,76,"CD4",12596
"CD3","1228-3_B3_B03.fcs","Stanford","12828","3",0.552333295424391,29140,"Live",52758
"Lymphocytes","1228-3_B3_B03.fcs","Stanford","12828","3",1,55958,"nonDebris",55958
"CCR4-CD45RO+","12828_1_B1_B01.fcs","Yale","12828","1",0.0718789407313997,57,"CD25+CD127-",793
"CCR4-HLADR-","12828_1_B1_B01.fcs","Yale","12828","1",0.437578814627995,347,"CD25+CD127-",793
"CCR4+HLADR-","12828_1_B1_B01.fcs","Yale","12828","1",0.417402269861286,331,"CD25+CD127-",793
"CCR4+CD45RO+","12828_1_B1_B01.fcs","Yale","12828","1",0.50063051702396,397,"CD25+CD127-",793
"CCR4+HLADR+","12828_1_B1_B01.fcs","Yale","12828","1",0.14249684741488,113,"CD25+CD127-",793
"CCR4-HLADR+","12828_1_B1_B01.fcs","Yale","12828","1",0.00252206809583859,2,"CD25+CD127-",793
