"alias","pop","parent","dims","method","args"
"cd3","cd3+","root","cd3","mindensity",""
"*","cd4-/+cd8+/-","cd3","cd4,cd8","mindensity",
"activatedcd4_cd38","CD38+","cd4+cd8-","CD38","flowClust","K=3"
"activatedcd4_HLADR","HLADR+","cd4+cd8-","HLADR","flowClust","K=3,neg=2"
"activated cd4","CD38+HLADR+","cd4+cd8-","CD38,HLADR","refGate","activatedcd4_cd38:activatedcd4_HLADR"
"activatedcd8_cd38","CD38+","cd4-cd8+","CD38","flowClust","K=3,min=50"
"activatedcd8_HLADR","HLADR+","cd4-cd8+","HLADR","flowClust","K=3,min=100"
"activated cd8","CD38+HLADR+","cd4-cd8+","CD38,HLADR","refGate","activatedcd8_cd38:activatedcd8_HLADR"
"cd4_CCR7","CCR7+","cd4+cd8-","CCR7","flowClust","K=3,neg=2"
"cd4_CD45RA","CD45RA+","cd4+cd8-","CD45RA","flowClust","K=3,neg=2"
"*","CCR7+/-CD45RA+/-","cd4+cd8-","CCR7,CD45RA","refGate","cd4_CCR7:cd4_CD45RA"
"cd8_CCR7","CCR7+","cd4-cd8+","CCR7","flowClust","K=3"
"cd8_CD45RA","CD45RA+","cd4-cd8+","CD45RA","flowClust","K=3"
"*","CCR7+/-CD45RA+/-","cd4-cd8+","CCR7,CD45RA","refGate","cd8_CCR7:cd8_CD45RA"
