"alias","pop","parent","dims","method","args"
"cd3","cd3+","root","cd3","mindensity",""
"*","cd4+/-","cd3","cd4","mindensity",
"cd8-","cd8-","cd3","cd8","mindensity",
"cd8+","cd8+","cd4-","cd8","mindensity",
"cd4","cd4+cd8-","cd3","cd4,cd8","refGate","cd4+:cd8-"
"cd8","cd4-cd8+","cd3","cd4,cd8","refGate","cd4-:cd8+"
"cd4_CD38","CD38+","cd4","CD38","flowClust","K=2"
"cd4_HLADR","HLADR+","cd4","HLADR","cytokine","tol=1e-2"
"*","CD38+/-HLADR+/-","cd4","CD38,HLADR","refGate","cd4_CD38:cd4_HLADR"
"cd4_CXCR3","CXCR3+","cd4","CXCR3","flowClust","K=5,neg=2"
"cd4_CCR6","CCR6+","cd4","CCR6","cytokine","split='Center',tol=5e-2"
"*","CXCR3+/-CCR6+/-","cd4","CXCR3,CCR6","refGate","cd4_CXCR3:cd4_CCR6"
"cd8_cd38","CD38+","cd8","CD38","cytokine","split='Center',tol=5e-2"
"cd8_HLADR","HLADR+","cd8","HLADR","cytokine","split='Center',tol=1e-1"
"*","CD38+/-HLADR+/-","cd8","CD38,HLADR","refGate","cd8_cd38:cd8_HLADR"
"cd8_CXCR3","CXCR3+","cd8","CXCR3","cytokine","split='Center',tol=4e-2"
"cd8_CCR6","CCR6+","cd8","CCR6","cytokine","split='Center',tol=0.075"
"*","CXCR3+/-CCR6+/-","cd8","CXCR3,CCR6","refGate","cd8_CXCR3:cd8_CCR6"

