"Population","Filename","Center","Sample","Replicate","Proportion","Count","Parent","Count_Parent"
"CD16-CD56-","1228-1_D1_D01.fcs","Stanford","12828","1",0.262734115175915,4503,"CD14-Lineage-",17139
"CD16+CD56+","1228-1_D1_D01.fcs","Stanford","12828","1",0.336017270552541,5759,"CD14-Lineage-",17139
"CD16-CD56+","1228-1_D1_D01.fcs","Stanford","12828","1",0.333741758562343,5720,"CD14-Lineage-",17139
"CD16+CD56-","1228-1_D1_D01.fcs","Stanford","12828","1",0.0675068557092012,1157,"CD14-Lineage-",17139
"CD14+CD16+","1228-1_D1_D01.fcs","Stanford","12828","1",0.00399941826643397,165,"CD14+Lineage-",41256
"HLADR+","1228-1_D1_D01.fcs","Stanford","12828","1",0.79746835443038,3591,"CD16-CD56-",4503
"CD11c-CD123-","1228-1_D1_D01.fcs","Stanford","12828","1",0.0846560846560847,304,"HLADR+",3591
"CD11c+CD123-","1228-1_D1_D01.fcs","Stanford","12828","1",0.534670008354219,1920,"HLADR+",3591
"CD11c+CD123+","1228-1_D1_D01.fcs","Stanford","12828","1",0.268727373990532,965,"HLADR+",3591
"CD11c-CD123+","1228-1_D1_D01.fcs","Stanford","12828","1",0.111946532999165,402,"HLADR+",3591
"CD14-Lineage-","1228-1_D1_D01.fcs","Stanford","12828","1",0.116016489653352,17139,"Live",147729
"Monocytes","1228-1_D1_D01.fcs","Stanford","12828","1",0.999825325163926,148822,"root",148848
"CD16-CD56+","1228-2_D2_D02.fcs","Stanford","12828","2",0.317612241042755,5044,"CD14-Lineage-",15881
"CD16+CD56-","1228-2_D2_D02.fcs","Stanford","12828","2",0.0795919652414835,1264,"CD14-Lineage-",15881
"CD16-CD56-","1228-2_D2_D02.fcs","Stanford","12828","2",0.262766828285372,4173,"CD14-Lineage-",15881
"CD16+CD56+","1228-2_D2_D02.fcs","Stanford","12828","2",0.340028965430389,5400,"CD14-Lineage-",15881
"CD14+CD16+","1228-2_D2_D02.fcs","Stanford","12828","2",0.00726887060892959,281,"CD14+Lineage-",38658
