"Population","Filename","Center","Sample","Replicate","Proportion","Count","Parent","Count_Parent"
"CD3","1228-1_E1_E01.fcs","Stanford","12828","1",0.559849239700212,12923,"Live",23083
"CXCR3-CCR6-","1228-1_E1_E01.fcs","Stanford","12828","1",0.846757615398991,4531,"CD4+CD8-",5351
"CXCR3+CCR6+","1228-1_E1_E01.fcs","Stanford","12828","1",0,0,"CD4-CD8+",6876
"CXCR3-CCR6-","1228-1_E1_E01.fcs","Stanford","12828","1",0.97934845840605,6734,"CD4-CD8+",6876
"CXCR3+CCR6-","1228-1_E1_E01.fcs","Stanford","12828","1",0.00101803374054683,7,"CD4-CD8+",6876
"CD38-HLADR-","1228-1_E1_E01.fcs","Stanford","12828","1",0.449822463091011,2407,"CD4+CD8-",5351
"CXCR3+CCR6-","1228-1_E1_E01.fcs","Stanford","12828","1",0.14595402728462,781,"CD4+CD8-",5351
"CD38-HLADR-","1228-1_E1_E01.fcs","Stanford","12828","1",0.918121000581734,6313,"CD4-CD8+",6876
"Lymphocytes","1228-1_E1_E01.fcs","Stanford","12828","1",1,24329,"nonDebris",24329
"CD38+HLADR+","1228-1_E1_E01.fcs","Stanford","12828","1",0.0246682863016259,132,"CD4+CD8-",5351
"CD38+HLADR-","1228-1_E1_E01.fcs","Stanford","12828","1",0.477854606615586,2557,"CD4+CD8-",5351
"CD38+HLADR-","1228-1_E1_E01.fcs","Stanford","12828","1",0.016433973240256,113,"CD4-CD8+",6876
"CXCR3+CCR6+","1228-1_E1_E01.fcs","Stanford","12828","1",0.00112128574098299,6,"CD4+CD8-",5351
"CXCR3-CCR6+","1228-1_E1_E01.fcs","Stanford","12828","1",0.0196335078534031,135,"CD4-CD8+",6876
"CD38-HLADR+","1228-1_E1_E01.fcs","Stanford","12828","1",0.0610820244328098,420,"CD4-CD8+",6876
"CD38+HLADR+","1228-1_E1_E01.fcs","Stanford","12828","1",0.0043630017452007,30,"CD4-CD8+",6876
"CD38-HLADR+","1228-1_E1_E01.fcs","Stanford","12828","1",0.0476546439917772,255,"CD4+CD8-",5351
"CD4+CD8-","1228-1_E1_E01.fcs","Stanford","12828","1",0.414067940880601,5351,"CD3",12923
"CD4-CD8+","1228-1_E1_E01.fcs","Stanford","12828","1",0.532074595682117,6876,"CD3",12923
"CXCR3-CCR6+","1228-1_E1_E01.fcs","Stanford","12828","1",0.00616707157540647,33,"CD4+CD8-",5351
"CD3","1228-2_E2_E02.fcs","Stanford","12828","2",0.586560468735695,12814,"Live",23083
"CD38+HLADR+","1228-2_E2_E02.fcs","Stanford","12828","2",0.0227188769855929,123,"CD4+CD8-",5351
"CXCR3-CCR6+","1228-2_E2_E02.fcs","Stanford","12828","2",0.0186639016442009,126,"CD4-CD8+",6876
"CD38-HLADR-","1228-2_E2_E02.fcs","Stanford","12828","2",0.435352789065386,2357,"CD4+CD8-",5351
"CXCR3-CCR6-","1228-2_E2_E02.fcs","Stanford","12828","2",0.97807732187824,6603,"CD4-CD8+",6876
"CXCR3+CCR6-","1228-2_E2_E02.fcs","Stanford","12828","2",0.00325877647755888,22,"CD4-CD8+",6876
"CD38-HLADR+","1228-2_E2_E02.fcs","Stanford","12828","2",0.0459918729220539,249,"CD4+CD8-",5351
"CD4-CD8+","1228-2_E2_E02.fcs","Stanford","12828","2",0.526845637583893,6751,"CD3",12923
"CXCR3-CCR6-","1228-2_E2_E02.fcs","Stanford","12828","2",0.875507942371629,4740,"CD4+CD8-",5351
"Lymphocytes","1228-2_E2_E02.fcs","Stanford","12828","2",1,23128,"nonDebris",24329
"CD38-HLADR-","1228-2_E2_E02.fcs","Stanford","12828","2",0.921937490742112,6224,"CD4-CD8+",6876
"CD38+HLADR+","1228-2_E2_E02.fcs","Stanford","12828","2",0.00592504814101615,40,"CD4-CD8+",6876
"CXCR3-CCR6+","1228-2_E2_E02.fcs","Stanford","12828","2",0.00240118212042852,13,"CD4+CD8-",5351
"CXCR3+CCR6+","1228-2_E2_E02.fcs","Stanford","12828","2",0.00055411895086812,3,"CD4+CD8-",5351
"CD38+HLADR-","1228-2_E2_E02.fcs","Stanford","12828","2",0.0197007850688787,133,"CD4-CD8+",6876
"CD38+HLADR-","1228-2_E2_E02.fcs","Stanford","12828","2",0.495936461026967,2685,"CD4+CD8-",5351
"CD4+CD8-","1228-2_E2_E02.fcs","Stanford","12828","2",0.422506633369752,5414,"CD3",12923
"CXCR3+CCR6-","1228-2_E2_E02.fcs","Stanford","12828","2",0.121536756557074,658,"CD4+CD8-",5351
"CXCR3+CCR6+","1228-2_E2_E02.fcs","Stanford","12828","2",0,0,"CD4-CD8+",6876
"CD38-HLADR+","1228-2_E2_E02.fcs","Stanford","12828","2",0.0524366760479929,354,"CD4-CD8+",6876
"CD38+HLADR+","1228-3_E3_E03.fcs","Stanford","12828","3",0.0240432779002204,120,"CD4+CD8-",5351
"CD4-CD8+","1228-3_E3_E03.fcs","Stanford","12828","3",0.532035548032162,6286,"CD3",12923
"CXCR3-CCR6-","1228-3_E3_E03.fcs","Stanford","12828","3",0.958001909004136,6022,"CD4-CD8+",6876
"Lymphocytes","1228-3_E3_E03.fcs","Stanford","12828","3",1,21348,"nonDebris",24329
"CXCR3-CCR6+","1228-3_E3_E03.fcs","Stanford","12828","3",0.0362710785873369,228,"CD4-CD8+",6876
"CXCR3+CCR6-","1228-3_E3_E03.fcs","Stanford","12828","3",0.146864355840513,733,"CD4+CD8-",5351
"CXCR3+CCR6-","1228-3_E3_E03.fcs","Stanford","12828","3",0.00556792873051225,35,"CD4-CD8+",6876
"CXCR3+CCR6+","1228-3_E3_E03.fcs","Stanford","12828","3",0,0,"CD4+CD8-",5351
"CD38-HLADR+","1228-3_E3_E03.fcs","Stanford","12828","3",0.0474854738529353,237,"CD4+CD8-",5351
"CD38+HLADR-","1228-3_E3_E03.fcs","Stanford","12828","3",0.0190900413617563,120,"CD4-CD8+",6876
"CXCR3-CCR6+","1228-3_E3_E03.fcs","Stanford","12828","3",0.00140252454417952,7,"CD4+CD8-",5351
"CD38-HLADR-","1228-3_E3_E03.fcs","Stanford","12828","3",0.923958001909004,5808,"CD4-CD8+",6876
"CD38+HLADR+","1228-3_E3_E03.fcs","Stanford","12828","3",0.00652243079860006,41,"CD4-CD8+",6876
"CXCR3-CCR6-","1228-3_E3_E03.fcs","Stanford","12828","3",0.851733119615308,4251,"CD4+CD8-",5351
"CD38+HLADR-","1228-3_E3_E03.fcs","Stanford","12828","3",0.472450410739331,2358,"CD4+CD8-",5351
"CXCR3+CCR6+","1228-3_E3_E03.fcs","Stanford","12828","3",0.000159083678014636,1,"CD4-CD8+",6876
"CD38-HLADR+","1228-3_E3_E03.fcs","Stanford","12828","3",0.0504295259306395,317,"CD4-CD8+",6876
"CD3","1228-3_E3_E03.fcs","Stanford","12828","3",0.586934923000497,11815,"Live",23083
"CD4+CD8-","1228-3_E3_E03.fcs","Stanford","12828","3",0.422429115531105,4991,"CD3",12923
"CD38-HLADR-","1228-3_E3_E03.fcs","Stanford","12828","3",0.456020837507514,2276,"CD4+CD8-",5351
"CXCR3-CCR6+","12828_1_E1_E01.fcs","Yale","12828","1",0.019020446980504,200,"CD4-CD8+",6876
"CD38-HLADR+","12828_1_E1_E01.fcs","Yale","12828","1",0.0261280273339363,260,"CD4+CD8-",5351
"CXCR3-CCR6-","12828_1_E1_E01.fcs","Yale","12828","1",0.876367094626724,9215,"CD4-CD8+",6876
"CXCR3+CCR6+","12828_1_E1_E01.fcs","Yale","12828","1",0.000301477238468496,3,"CD4+CD8-",5351
"CXCR3+CCR6+","12828_1_E1_E01.fcs","Yale","12828","1",0.0014265335235378,15,"CD4-CD8+",6876
"CD38+HLADR+","12828_1_E1_E01.fcs","Yale","12828","1",0.0120779838326201,127,"CD4-CD8+",6876
"CD38+HLADR-","12828_1_E1_E01.fcs","Yale","12828","1",0.347028055159296,3649,"CD4-CD8+",6876
"CD38-HLADR-","12828_1_E1_E01.fcs","Yale","12828","1",0.631383737517832,6639,"CD4-CD8+",6876
"CD38+HLADR+","12828_1_E1_E01.fcs","Yale","12828","1",0.0177871570696412,177,"CD4+CD8-",5351
"CD38-HLADR+","12828_1_E1_E01.fcs","Yale","12828","1",0.00951022349025202,100,"CD4-CD8+",6876
